epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,16177.1,0.55099,0.30027,0.79167,0.99422,0.99878,0.995,0.87081,0.57797,0.29189,0.77494,0.000580174,0.000580174,0.000580174
62,16434.5,0.55182,0.30402,0.78712,0.9982,0.99879,0.995,0.84184,0.67107,0.31219,0.78488,0.000566027,0.000566027,0.000566027
63,16694,0.56242,0.29929,0.79473,0.99663,0.99951,0.995,0.87169,0.57407,0.2949,0.77412,0.00055188,0.00055188,0.00055188
64,16950.9,0.54734,0.29706,0.79108,0.99623,0.99948,0.995,0.87315,0.5672,0.29098,0.77449,0.000537733,0.000537733,0.000537733
65,17205.8,0.55676,0.29743,0.78335,0.99706,1,0.995,0.85884,0.62344,0.29607,0.77935,0.000523586,0.000523586,0.000523586
66,17464.3,0.53675,0.28809,0.79162,0.99472,0.99898,0.995,0.8658,0.60584,0.29404,0.77851,0.000509438,0.000509438,0.000509438
67,17721.6,0.53917,0.29655,0.78484,0.99832,0.99214,0.995,0.86214,0.62495,0.30403,0.78112,0.000495291,0.000495291,0.000495291
68,17977.8,0.54328,0.29034,0.79877,0.99837,0.99267,0.995,0.85609,0.64634,0.31045,0.78393,0.000481144,0.000481144,0.000481144
69,18235.6,0.53397,0.29166,0.7848,0.99206,0.99884,0.995,0.86628,0.61939,0.30073,0.77876,0.000466997,0.000466997,0.000466997
70,18492,0.54552,0.29331,0.78513,0.99736,0.99273,0.995,0.85046,0.66904,0.31585,0.78477,0.00045285,0.00045285,0.00045285
71,18745.6,0.56122,0.296,0.78716,0.99395,0.99724,0.995,0.86255,0.62363,0.31179,0.77748,0.000438703,0.000438703,0.000438703
72,18999.7,0.54189,0.28837,0.78858,0.9982,0.99269,0.995,0.87125,0.57585,0.29097,0.7761,0.000424556,0.000424556,0.000424556
73,19260,0.54024,0.291,0.78534,0.99689,0.99341,0.995,0.8622,0.6153,0.29067,0.77802,0.000410409,0.000410409,0.000410409
74,19517.7,0.53507,0.28872,0.77924,0.99401,0.99099,0.99482,0.86202,0.6322,0.30719,0.78035,0.000396262,0.000396262,0.000396262
75,19770.2,0.53201,0.28703,0.78528,0.994,0.99099,0.99482,0.83422,0.72819,0.33043,0.78992,0.000382115,0.000382115,0.000382115
